"company_name","slug","contact_email","telnr","website","vat","street","number","postcode","municipality","service_areas","specializations","main_categories","title","introduction","is_public","is_claimed"
"Passion Garden By Mike & Kev","passion-garden-by-mike-kev","passiongarden.mike@hotmail.com","","","BE0794794046","Poelkstraat","38","1760","Roosdaal","roosdaal","tuinaanleg|gras-maaien","tuinaanleg","Tuinaanleg en -onderhoud in Roosdaal","Passion Garden By Mike & Kev legt tuinen aan en onderhoudt groene ruimtes in Roosdaal en de wijde regio. Van klein onderhoud tot volledige tuinaanleg op maat.","false","false"
"RBB","rbb","info@rbbtuinwerken.be","0479 48 96 25","http://rbbtuinwerken.be","BE0739597086","Tegelbergweg(LUB)","3","3210","Lubbeek","lubbeek","bomen-snoeien|hagen-knippen|tuinaanleg|gras-maaien","tuinaanleg","Tuinaanleg en -onderhoud in Lubbeek","RBB is een lokale tuinaannemer uit Lubbeek, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Claeys","claeys","koen@tuinboerke.be","016/232653","http://www.tuinboerke.be","BE0839094342","Langeveldstraat","117","3020","Herent","herent","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Herent","Claeys is een lokale tuinaannemer uit Herent, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"De Boomklever","de-boomklever","deboomklever1@gmail.com","","https://www.deboomklever.be","BE1010701990","Kaaskorf","61","3390","Tielt-Winge","tielt-winge","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Tielt-Winge","De Boomklever is een geregistreerd tuinbedrijf actief in Tielt-Winge en omgeving. Wij verzorgen tuinonderhoud, snoeiwerk en groenbeheer voor particulieren en bedrijven.","false","false"
"Tuinwerken Van de gaer","tuinwerken-van-de-gaer","info@tuinwerkenvandegaer.be","","https://www.tuinwerkenvandegaer.be","BE1010290335","Beatrijslaan","108","3110","Rotselaar","rotselaar","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Rotselaar","Met jarenlange ervaring in landschapsverzorging staat Tuinwerken Van de gaer klaar voor al uw tuinwerk in Rotselaar. Betrouwbaar, lokaal en met oog voor detail.","false","false"
"Alain Gremmelprez","alain-gremmelprez","","","","BE0685709430","Saffelbergstraat","55","1750","Lennik","lennik","tuinaanleg|gras-maaien","tuinaanleg","Tuinaanleg en -onderhoud in Lennik","Alain Gremmelprez is een lokale tuinaannemer uit Lennik, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Avg-Projects","avg-projects","","","","BE0766734124","Rosweg","13","1750","Lennik","lennik","paden-terrassen","tuinonderhoud","Tuinonderhoud in regio Lennik","Avg-Projects is een geregistreerd tuinbedrijf actief in Lennik en omgeving. Wij verzorgen tuinonderhoud, snoeiwerk en groenbeheer voor particulieren en bedrijven.","false","false"
"Atelier Collaer","atelier-collaer","","","","BE1004864669","Smeysberg","14a","3040","Huldenberg","huldenberg","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Huldenberg","Met jarenlange ervaring in landschapsverzorging staat Atelier Collaer klaar voor al uw tuinwerk in Huldenberg. Betrouwbaar, lokaal en met oog voor detail.","false","false"
"B2K","b2k","","016/40 73 24","","BE0707542249","Stationsstraat","18","3051","Oud-Heverlee","oud-heverlee","tuinaanleg|gras-maaien","tuinaanleg","Tuinaanleg en -onderhoud in Oud-Heverlee","B2K legt tuinen aan en onderhoudt groene ruimtes in Oud-Heverlee en de wijde regio. Van klein onderhoud tot volledige tuinaanleg op maat.","false","false"
"BCO-3","bco-3","","","","BE1003959205","Steenweg op Ukkel","66","1650","Beersel","beersel","paden-terrassen","tuinonderhoud","Tuinonderhoud in regio Beersel","BCO-3 is een geregistreerd tuinbedrijf actief in Beersel en omgeving. Wij verzorgen tuinonderhoud, snoeiwerk en groenbeheer voor particulieren en bedrijven.","false","false"
